Eliminacje juniorek młodszych 20-22.11.2014 r.,,,,,,,
,,,,,,,
Lp,Nazwisko ,Imię ,Klub,,,,
,,,,Pełne,Zbier.,X,Razem
1.,Grzelak,Patrycja,KK Dziewiątka-Amica Wronki,384,223,3,607
2.,Majerová,Kateřina,SKK Primator Nachod,377,181,5,558
3.,Bonk,Aleksandra,KS Alfa Vector Tarnowo Podg.,346,192,3,538
4.,Włodarczyk,Natalia,KS Polonia 1912 Leszno,330,198,7,528
5.,Brožková,Nina,SKK Primator Nachod,353,173,3,526
6.,Szponar,Anita,OSiR Vector Tarnowo Podg.,354,172,5,526
7.,Ciałoń,Katarzyna,KS Polonia Łaziska Górne,353,166,12,519
8.,Paszyk,Julia,KK Dziewiątka-Amica Wronki,342,165,11,507
9.,Mroczkiewicz,Katarzyna,KK Dziewiątka-Amica Wronki,355,145,5,500
10.,Zalewska,Marta,MLKS Tucholanka Tuchola,358,142,8,500
11.,Brodziszewska,Julia,KK Dziewiątka-Amica Wronki,352,134,16,486
12.,Gołębiewska,Marta,KS Zatoka Puck,356,129,11,485
13.,Kurcok,Małgorzata,KS Polonia Łaziska Górne,348,134,12,482
14.,Kwapisz ,Dorota,KS Polonia 1912 Leszno,341,136,10,477
15.,Klunder,Daria,MLKS Tucholanka Tuchola,341,136,10,477
16.,Wegner,Justyna,MLKS Tucholanka Tuchola,360,114,14,474
17.,Pietrowska,Karolina,MLKS Tucholanka Tuchola,327,137,13,464
18.,Wawrzyniak,Oliwia,KS Start Gostyń,321,137,12,458
19.,Remisz,Martyna,KK Dziewiątka-Amica Wronki,321,134,10,455
20.,Grocholska,Julia,KK Dziewiątka-Amica Wronki,322,128,14,450
21.,Dziamska,Jagoda,OSiR Vector Tarnowo Podg.,320,121,14,441
22.,Remisz,Weronika,KK Dziewiątka-Amica Wronki,312,128,14,440
23.,Kędziora,Weronika,KS Czarna Kula Poznań,329,103,25,432
24.,Torka,Weronika,KS Alfa Vector Tarnowo Podg.,317,112,19,429
25.,Woźniak,Karolina,MLKS Tucholanka Tuchola,282,98,23,380
26.,Korzeniewska,Michalina,KS Tucholanka TucholaML,274,102,21,376
27.,Ehrlich,Karolina,TPK Wejherowo,253,118,17,371
28.,Gumińska,Julia,MLKS Tucholanka Tuchola,246,105,25,351