Eliminacje młodziczek 20-22.11.2014 r.,,,,,,,
,,,,,,,
Lp,Nazwisko ,Imię ,Klub,,,,
,,,,Pełne,Zbier.,X,Razem
1.,Dudziak,Nicoletta,KS Polonia 1912 Leszno,350,162,10,512
2.,Filipiec,Julia,KK Dziewiątka-Amica Wronki,363,143,8,506
3.,Przybysz,Angelika,KK Dziewiątka-Amica Wronki,347,157,13,504
4.,Jądrzyk,Wiktoria,KK Dziewiątka-Amica Wronki,337,163,11,500
5.,Szczepska,Sandra,KK Dziewiątka-Amica Wronki,333,149,7,482
6.,Łochowicz,Anna,KS Polonia 1912 Leszno,303,130,19,433
7.,Sarbak,Karolina,KK Dziewiątka-Amica Wronki,303,121,17,424
8.,Metlicka,Aleksandra,MLKS Tucholanka Tuchola,312,112,17,424
9.,Mrowiec,Sandra,OSiR Vector Tarnowo Podg.,302,119,18,421
10.,Szczerkowska,Weronika,TPK Wejherowo,280,92,29,372
11.,Krefft,Agnieszka,TPK Wejherowo,246,121,20,367
12.,Księżyk,Klaudia,TPK Wejherowo,242,59,36,301